id,source_language,source,target_language,target,gold_accuracy_subtype,gold_severity,gold_reason
WSLQA-NL-001,English,"Waterproof LED lamp, 5 W",Dutch,"Waterdichte LED-lamp, 5 W",none,none,"The target preserves the product type, the waterproof property, and the wattage."
WSLQA-NL-002,English,Set of 4 glasses,Dutch,Set van 6 glazen,mistranslation,major,"The target changes the quantity from 4 to 6, which could mislead the buyer."
WSLQA-NL-003,English,"Waterproof powerbank, 10000 mAh",Dutch,"Powerbank, 10000 mAh",omission,major,"The target omits the waterproof property, a meaningful product feature present in the source."
WSLQA-NL-004,English,Coffee machine with filter,Dutch,Koffiemachine met filter en thermometer,addition,major,"The target adds a thermometer, a component not present in the source."
WSLQA-NL-005,English,Battery charger with cable,Dutch,Battery charger met kabel,untranslated,minor,"A translatable product phrase is left in English, but the core meaning is still understandable."
WSLQA-NL-006,English,GreenLeaf tea,Dutch,GroenBlad thee,unnecessarily_translated,major,The protected brand name GreenLeaf is translated instead of remaining unchanged.
WSLQA-NL-007,English,"USB-C adapter, 5 V",Dutch,"USB-C-adapter, 50 V",mistranslation,critical,"The target states 50 V instead of 5 V, a tenfold voltage error that could damage devices or create a safety hazard."
WSLQA-NL-008,English,"Vitamin C, 2 tablets per day",Dutch,"Vitamine C, 20 tabletten per dag",mistranslation,critical,"The target states 20 tablets per day instead of 2, a tenfold dosage error with a health risk."
WSLQA-NL-009,English,"Glass bottle, 1,500 ml",Dutch,"Glazen fles, 1.500 ml",none,none,"The value is unchanged: Dutch uses a period as the thousands separator, so 1.500 ml is identical to 1,500 ml."
WSLQA-NL-010,English,Light blue cotton T-shirt,Dutch,Blauw katoenen T-shirt,omission,minor,"The target omits 'light', a low-impact colour detail."
WSLQA-NL-011,English,"Shampoo, 250 ml",Dutch,"Shampoo en balsem, 250 ml",addition,major,"The target adds 'balsem' (conditioner), a second product not present in the source."
WSLQA-NL-012,English,Pack of 3 white cotton socks,Dutch,Set van 3 witte katoenen sokken,none,none,"The target preserves quantity, colour, material, and product type; 'Set' is an acceptable equivalent of 'Pack'."
