id,source_language,source,target_language,target,english_support_note,suggested_accuracy_subtype,suggested_reason,participant_accuracy_subtype,participant_severity,participant_reason
WSLQA-001,English,"Waterproof hiking backpack, 30 L",Czech,"Nepromokavý turistický batoh, 30 l","Back-translation: Waterproof hiking backpack, 30 l.",none,The target appears to preserve the source meaning.,,,
WSLQA-002,English,Set of 4 ceramic mugs,Czech,Sada 6 keramických hrnků,Back-translation: Set of 6 ceramic mugs.,mistranslation,The quantity is different.,,,
WSLQA-003,English,Free returns within 30 days,Czech,Vrácení zdarma,Back-translation: Free returns.,omission,The time limit is missing.,,,
WSLQA-004,English,Cotton baby blanket,Czech,Bavlněná dětská deka s kapucí,Back-translation: Cotton baby blanket with a hood.,addition,The target adds a product feature.,,,
WSLQA-005,English,Battery charger with USB-C cable,Czech,Battery charger s kabelem USB-C,"Back-translation: Battery charger with a USB-C cable, with 'Battery charger' left in English.",none,The target appears to preserve the source meaning.,,,
WSLQA-006,English,"FreshGo lunch box, 900 ml",Czech,"Krabička na oběd ČerstvěJdi, 900 ml","Back-translation: Lunch box FreshGo translated literally as Fresh-Go, 900 ml.",mistranslation,The brand meaning seems changed.,,,
WSLQA-007,English,Do not use near open flame,Czech,Používejte v blízkosti otevřeného ohně,Back-translation: Use near an open flame.,mistranslation,The warning is reversed.,,,
WSLQA-008,English,Contains peanuts,Czech,Neobsahuje arašídy,Back-translation: Does not contain peanuts.,mistranslation,The allergen statement is reversed.,,,
WSLQA-009,English,Payment due at checkout,Czech,Platba při dokončení objednávky,Back-translation: Payment when completing the order.,mistranslation,The target may change when payment is due.,,,
WSLQA-010,English,Available in light grey,Czech,K dispozici v šedé,Back-translation: Available in grey.,none,The target appears to preserve the source meaning.,,,
WSLQA-011,English,Delivery to pickup point,Czech,Doručení na výdejní místo do 24 hodin,Back-translation: Delivery to pickup point within 24 hours.,addition,The target adds a delivery time promise.,,,
WSLQA-012,English,Machine washable at 40°C,Czech,Lze prát v pračce na 40 °C,Back-translation: Can be washed in a washing machine at 40°C.,none,The target appears to preserve the source meaning.,,,
