id,source_language,source,target_language,target,english_support_note,suggested_accuracy_subtype,suggested_reason,gold_accuracy_subtype,gold_severity,gold_reason
WSLQA-001,English,"Waterproof hiking backpack, 30 L",Czech,"Nepromokavý turistický batoh, 30 l","Back-translation: Waterproof hiking backpack, 30 l.",none,The target appears to preserve the source meaning.,none,none,"The target preserves the product type, waterproof property, and volume."
WSLQA-002,English,Set of 4 ceramic mugs,Czech,Sada 6 keramických hrnků,Back-translation: Set of 6 ceramic mugs.,mistranslation,The quantity is different.,mistranslation,major,"The target changes the quantity from 4 to 6, which could mislead the buyer."
WSLQA-003,English,Free returns within 30 days,Czech,Vrácení zdarma,Back-translation: Free returns.,omission,The time limit is missing.,omission,major,"The target omits the 30-day condition, which changes the return information."
WSLQA-004,English,Cotton baby blanket,Czech,Bavlněná dětská deka s kapucí,Back-translation: Cotton baby blanket with a hood.,addition,The target adds a product feature.,addition,major,"The target adds a hood, which is a meaningful product feature not present in the source."
WSLQA-005,English,Battery charger with USB-C cable,Czech,Battery charger s kabelem USB-C,"Back-translation: Battery charger with a USB-C cable, with 'Battery charger' left in English.",none,The target appears to preserve the source meaning.,untranslated,minor,"A translatable product phrase is left in English, but the core meaning is still mostly understandable."
WSLQA-006,English,"FreshGo lunch box, 900 ml",Czech,"Krabička na oběd ČerstvěJdi, 900 ml","Back-translation: Lunch box FreshGo translated literally as Fresh-Go, 900 ml.",mistranslation,The brand meaning seems changed.,unnecessarily_translated,major,The protected brand name FreshGo is translated instead of remaining unchanged.
WSLQA-007,English,Do not use near open flame,Czech,Používejte v blízkosti otevřeného ohně,Back-translation: Use near an open flame.,mistranslation,The warning is reversed.,mistranslation,critical,The target reverses a safety warning and could cause unsafe use.
WSLQA-008,English,Contains peanuts,Czech,Neobsahuje arašídy,Back-translation: Does not contain peanuts.,mistranslation,The allergen statement is reversed.,mistranslation,critical,"The target reverses allergen information, creating serious health risk."
WSLQA-009,English,Payment due at checkout,Czech,Platba při dokončení objednávky,Back-translation: Payment when completing the order.,mistranslation,The target may change when payment is due.,none,none,The target preserves the meaning of payment being due at checkout.
WSLQA-010,English,Available in light grey,Czech,K dispozici v šedé,Back-translation: Available in grey.,none,The target appears to preserve the source meaning.,omission,minor,"The target omits 'light', a low-impact color detail."
WSLQA-011,English,Delivery to pickup point,Czech,Doručení na výdejní místo do 24 hodin,Back-translation: Delivery to pickup point within 24 hours.,addition,The target adds a delivery time promise.,addition,major,"The target adds a 24-hour promise, which could mislead the buyer about delivery conditions."
WSLQA-012,English,Machine washable at 40°C,Czech,Lze prát v pračce na 40 °C,Back-translation: Can be washed in a washing machine at 40°C.,none,The target appears to preserve the source meaning.,none,none,The target preserves the washing instruction.
